Pos,ID,Name,BV,SV,Team,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,Elite%
M,219,Ahamada,4.3,4.3,Crystal Palace,13,0.56,12,0.52,10,0.46,10,0.42,12,0.54,12,0.49,9,0.37,10,0.44,0.01
D,220,Andersen,4.9,4.9,Crystal Palace,90,3.13,86,3.31,84,3.39,82,2.24,81,3.34,80,1.94,78,1.21,78,2.20,0.03
M,221,J.Ayew,5.4,5.4,Crystal Palace,79,3.88,74,3.80,71,3.71,67,2.89,65,3.50,61,2.56,61,2.00,59,2.78,0.00
D,222,Clyne,4.4,4.4,Crystal Palace,19,0.67,17,0.63,19,0.75,21,0.62,23,0.98,26,0.71,24,0.49,23,0.72,0.00
M,223,C.Doucouré,5.0,5.0,Crystal Palace,87,2.48,85,2.48,83,2.47,81,2.15,79,2.42,78,2.04,76,1.80,75,2.10,0.00
M,224,Ebiowei,4.5,4.5,Crystal Palace,2,0.17,2,0.19,2,0.19,3,0.20,3,0.24,3,0.20,3,0.17,2,0.18,0.00
F,225,Edouard,5.5,5.5,Crystal Palace,74,3.57,70,3.54,68,3.46,67,2.88,66,3.42,66,2.77,63,2.11,62,2.89,0.00
M,226,Eze,6.1,6.1,Crystal Palace,0,0.00,0,0.00,0,0.00,21,1.00,33,1.97,45,2.06,73,2.49,73,3.74,0.00
G,227,Guaita,4.4,4.4,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,228,Guéhi,4.5,4.5,Crystal Palace,90,3.09,87,3.30,84,3.38,81,2.20,81,3.33,81,1.95,81,1.24,80,2.20,0.18
M,229,Hughes,4.9,4.9,Crystal Palace,51,1.81,46,1.66,44,1.59,43,1.39,40,1.49,39,1.28,34,1.01,35,1.22,0.00
G,230,Johnstone,4.5,4.5,Crystal Palace,92,3.61,85,3.46,72,2.99,71,2.52,70,2.94,70,2.43,72,2.36,68,2.41,0.02
M,231,Lerma,4.7,4.7,Crystal Palace,79,2.34,75,2.27,73,2.24,69,1.88,69,2.15,66,1.78,62,1.49,61,1.75,0.00
F,232,Mateta,4.9,4.9,Crystal Palace,37,2.02,36,2.03,34,1.96,32,1.60,33,1.96,33,1.61,32,1.29,33,1.76,0.00
G,233,Matthews,4.0,4.0,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,234,Mitchell,4.5,4.5,Crystal Palace,63,2.18,82,3.12,80,3.20,79,2.16,76,3.12,76,1.85,74,1.19,75,2.09,0.01
D,235,O'Brien,4.0,4.0,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,236,Olise,5.8,5.8,Crystal Palace,34,1.69,61,3.08,76,3.82,74,3.06,73,3.75,72,2.90,72,2.27,70,3.12,0.00
F,237,Plange,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,238,C.Richards,3.9,3.9,Crystal Palace,13,0.45,16,0.62,21,0.88,23,0.69,24,1.05,25,0.70,28,0.52,29,0.90,0.00
M,239,Riedewald,4.4,4.4,Crystal Palace,10,0.37,7,0.29,9,0.35,9,0.32,9,0.34,9,0.34,9,0.32,9,0.34,0.00
M,240,Schlupp,4.9,4.9,Crystal Palace,61,2.51,58,2.53,57,2.48,55,2.11,52,2.35,51,1.93,48,1.58,49,2.02,0.00
D,241,Tomkins,4.0,4.0,Crystal Palace,0,0.00,0,0.00,0,0.00,2,0.04,2,0.06,2,0.05,2,0.04,2,0.06,0.00
D,242,Ward,4.5,4.5,Crystal Palace,84,3.00,80,3.19,76,3.17,73,2.01,71,2.97,67,1.66,67,1.06,67,1.90,0.00
G,243,Whitworth,4.0,4.0,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,244,André Gomes,4.4,4.4,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,245,Branthwaite,4.0,4.0,Everton,84,2.17,80,2.52,78,2.19,74,2.41,72,2.04,73,2.12,71,2.31,70,1.36,0.05
F,246,Calvert-Lewin,5.8,5.8,Everton,65,3.66,61,2.96,61,3.09,59,2.98,58,2.82,58,2.77,57,3.00,56,2.51,0.00
D,247,Coleman,4.4,4.4,Everton,3,0.09,7,0.28,17,0.59,18,0.71,20,0.70,21,0.75,21,0.83,22,0.62,0.00
M,248,Dele,4.8,4.8,Everton,8,0.45,12,0.59,15,0.76,17,0.83,19,0.89,19,0.88,19,0.94,23,0.99,0.00
M,249,A.Doucoure,5.5,5.5,Everton,88,3.12,86,2.81,81,2.73,80,2.72,77,2.57,79,2.58,78,2.72,77,2.35,0.00
M,250,Garner,4.9,4.9,Everton,69,2.27,69,2.15,68,2.14,69,2.21,67,2.06,70,2.13,70,2.25,67,1.91,0.00
M,251,Gbamin,4.4,4.4,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,252,Godfrey,4.3,4.3,Everton,10,0.31,12,0.43,15,0.51,20,0.73,20,0.67,20,0.69,20,0.75,24,0.61,0.00
M,253,Gray,5.3,5.3,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,254,Gana,4.8,4.8,Everton,55,1.70,56,1.71,57,1.71,56,1.73,56,1.68,55,1.64,56,1.72,56,1.55,0.00
D,255,Holgate,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,256,Iwobi,5.4,5.4,Fulham,47,1.84,45,1.64,46,2.02,46,1.55,49,2.11,47,1.96,48,1.63,47,2.08,0.00
D,257,Keane,4.3,4.3,Everton,10,0.30,15,0.51,16,0.51,20,0.70,21,0.67,22,0.69,23,0.80,23,0.52,0.00
F,258,Maupay,4.9,4.9,Brentford,55,3.09,56,2.40,52,2.40,51,3.34,50,2.49,46,2.77,44,2.42,0,0.00,0.00
M,259,McNeil,5.4,5.4,Everton,76,3.35,72,2.95,71,2.97,70,2.95,70,2.82,70,2.80,70,3.01,69,2.53,0.00
D,260,Mykolenko,4.3,4.3,Everton,77,2.22,76,2.57,72,2.23,71,2.52,71,2.19,70,2.19,70,2.47,68,1.48,0.00
M,261,Onana,4.8,4.8,Everton,68,2.08,67,2.00,68,2.02,68,2.05,68,1.98,67,1.95,67,2.04,66,1.79,0.00
D,262,Patterson,4.4,4.4,Everton,28,0.88,30,1.04,29,0.94,29,1.04,30,0.97,32,1.06,29,1.07,31,0.77,0.00
G,263,Pickford,4.4,4.4,Everton,93,3.31,93,3.51,92,3.37,91,3.50,91,3.33,91,3.36,92,3.52,92,3.04,0.13
F,264,Simms,4.5,4.5,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.01
D,265,Tarkowski,4.4,4.4,Everton,92,2.49,89,2.86,88,2.52,86,2.86,86,2.48,84,2.49,85,2.82,84,1.65,0.00
G,266,J.Virginia,3.9,3.9,Everton,2,0.06,2,0.09,2,0.09,4,0.15,3,0.12,3,0.13,3,0.11,3,0.09,0.01
M,267,Andreas,5.4,5.4,Fulham,75,3.48,71,3.02,72,3.92,70,2.67,69,3.76,70,3.55,69,2.67,69,3.81,0.00
M,268,Cairney,4.9,4.9,Fulham,9,0.47,13,0.58,14,0.69,17,0.72,19,0.93,17,0.83,21,0.89,22,1.07,0.00
M,269,I.Cavaleiro,5.0,5.0,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,270,De Cordova-Reid,5.5,5.5,Fulham,43,1.92,44,1.81,44,2.19,45,1.71,42,2.09,46,2.15,47,1.79,46,2.30,0.00
D,271,Diop,4.5,4.5,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,272,Francois,4.4,4.4,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,273,Knockaert,4.4,4.4,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,274,Kongolo,4.0,4.0,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,275,Leno,4.7,4.7,Fulham,94,3.41,92,3.18,92,3.75,91,3.02,91,3.79,90,3.45,91,3.12,91,3.70,0.04
M,276,Lukić,4.4,4.4,Fulham,29,1.21,30,1.18,32,1.40,35,1.25,37,1.58,39,1.54,38,1.33,39,1.64,0.00
D,277,Mbabu,4.0,4.0,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,278,Mitrović,7.4,7.4,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,279,Muniz,4.4,4.4,Fulham,2,0.13,2,0.13,2,0.20,3,0.21,3,0.28,4,0.30,4,0.27,4,0.32,0.00
M,280,J.Palhinha,5.0,5.0,Fulham,90,2.36,88,2.18,81,2.42,78,1.86,76,2.28,75,2.13,76,1.87,75,2.24,0.00
D,281,Ream,4.5,4.5,Fulham,93,2.39,90,1.85,87,3.19,86,1.24,85,3.25,86,2.57,84,1.70,83,3.08,0.00
M,282,Reed,4.8,4.8,Fulham,62,2.04,60,1.90,59,2.14,58,1.73,58,2.12,57,1.99,53,1.67,55,2.02,0.00
D,283,Robinson,4.4,4.4,Fulham,87,2.37,85,1.85,82,3.21,81,1.25,77,3.13,77,2.50,76,1.63,76,3.04,0.00
G,284,Rodák,3.9,3.9,Fulham,1,0.04,2,0.09,3,0.13,4,0.13,4,0.17,4,0.17,4,0.12,4,0.16,0.00
D,285,Tete,4.4,4.4,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,286,Tosin,4.3,4.3,Fulham,2,0.07,18,0.42,46,1.74,46,0.72,49,1.90,50,1.55,48,1.02,49,1.87,0.00
F,287,Vinícius,4.8,4.8,Fulham,37,1.90,36,1.71,38,2.18,36,1.58,38,2.15,38,2.07,37,1.59,37,2.16,0.00
M,288,Wilson,5.3,5.3,Fulham,47,2.27,48,2.13,47,2.60,47,1.92,47,2.60,46,2.41,46,1.93,46,2.60,0.00
G,289,Adrián,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,290,Alexander-Arnold,7.9,7.9,Liverpool,89,5.39,85,4.73,83,2.21,80,4.95,81,5.06,81,4.20,78,3.89,77,3.37,0.04
G,291,A.Becker,5.6,5.6,Liverpool,94,4.17,93,3.97,92,3.23,92,4.09,91,4.09,92,3.90,91,3.64,91,3.55,0.00
M,292,Bajcetic,4.8,4.8,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,293,Darwin,7.4,7.4,Liverpool,39,3.01,39,2.82,40,1.94,40,3.12,40,3.14,42,2.64,41,2.77,41,2.44,0.05
M,294,Diogo J.,7.7,7.7,Liverpool,47,3.46,46,3.19,46,2.12,46,3.44,46,3.46,44,2.75,49,3.19,46,2.69,0.00
M,295,Elliott,4.8,4.8,Liverpool,7,0.52,10,0.61,9,0.46,12,0.74,13,0.81,14,0.75,15,0.89,14,0.78,0.00
M,296,Fabinho,5.0,5.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,297,Gakpo,7.2,7.2,Liverpool,42,2.70,44,2.67,43,1.88,43,2.82,44,2.91,44,2.40,44,2.55,45,2.34,0.00
D,298,Gomez,4.5,4.5,Liverpool,24,1.03,30,1.22,34,0.72,36,1.56,36,1.61,39,1.50,39,1.38,40,1.30,0.00
M,299,Henderson,5.0,5.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,300,Jones,4.9,4.9,Liverpool,45,1.99,44,1.88,39,1.37,41,1.83,40,1.84,42,1.70,43,1.74,42,1.63,0.00
G,301,Kelleher,3.9,3.9,Liverpool,1,0.05,2,0.08,3,0.10,3,0.14,4,0.16,3,0.12,4,0.16,3,0.13,0.00
D,302,Konaté,4.9,4.9,Liverpool,84,3.69,80,3.27,77,1.53,74,3.29,73,3.27,71,2.81,71,2.50,69,2.21,0.00
M,303,Luis Díaz,7.5,7.5,Liverpool,70,4.55,69,4.19,66,2.70,66,4.34,65,4.38,64,3.53,63,3.64,63,3.24,0.01
M,304,Mac Allister,5.8,5.8,Liverpool,80,3.73,77,3.41,72,2.31,71,3.38,70,3.38,67,2.77,69,2.92,69,2.66,0.00
D,305,Matip,4.9,4.9,Liverpool,13,0.54,17,0.72,21,0.52,25,1.23,26,1.27,28,1.25,28,1.14,28,1.05,0.00
D,306,Phillips,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,307,Robertson,6.5,6.5,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,308,Salah,12.8,12.7,Liverpool,87,7.46,84,6.65,82,3.90,80,7.01,79,7.05,79,5.45,78,5.83,77,5.02,0.91
M,309,Szoboszlai,7.0,7.0,Liverpool,86,4.69,83,4.29,82,2.83,78,4.41,79,4.50,79,3.68,77,3.78,76,3.37,0.00
M,310,Thiago,4.8,4.8,Liverpool,7,0.32,25,1.02,45,1.37,47,1.86,47,1.89,45,1.63,45,1.65,46,1.58,0.00
D,311,Tsimikas,4.5,4.5,Liverpool,82,4.57,79,4.07,79,1.92,77,4.34,76,4.33,74,3.59,73,3.30,74,2.94,0.63
D,312,Van den Berg,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,313,Virgil,6.0,6.0,Liverpool,92,4.32,88,3.83,86,1.82,84,4.02,82,4.01,81,3.41,82,3.11,82,2.81,0.00
F,314,Adebayo,4.8,4.8,Luton,40,1.74,39,1.58,40,1.89,38,1.64,39,1.64,41,1.55,39,1.78,40,1.68,0.00
D,315,Andersen,4.0,4.0,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,0.05,0.00
D,316,Bell,3.9,3.9,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,317,Berry,4.7,4.7,Luton,8,0.36,12,0.50,11,0.51,6,0.31,10,0.44,8,0.35,3,0.16,3,0.18,0.00
D,318,Burke,4.0,4.0,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,319,Campbell,4.9,4.9,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,320,Clark,4.8,4.8,Luton,0,0.00,0,0.00,6,0.23,16,0.59,29,0.97,44,1.30,22,0.87,24,0.88,0.00
D,321,Doughty,4.4,4.4,Luton,79,1.64,76,1.59,75,2.90,74,1.93,73,1.75,78,1.30,73,2.24,73,1.95,0.00
M,322,Freeman,4.9,4.9,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,323,Macey,4.0,4.0,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,324,McAtee,4.5,4.5,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,325,Mendes,4.5,4.5,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,326,Morris,5.5,5.5,Luton,79,3.08,75,2.67,74,3.24,74,2.84,71,2.64,72,2.42,73,3.04,71,2.74,0.07
F,327,Muskwe,4.5,4.5,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,328,Ogbene,4.9,4.9,Luton,63,2.05,61,1.86,63,2.17,62,1.98,62,1.95,62,1.82,61,2.08,60,1.94,0.00
M,329,Onyedinma,5.0,5.0,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,330,Osho,4.4,4.4,Luton,72,1.16,81,1.35,78,2.55,77,1.65,75,1.47,74,1.05,73,1.85,73,1.61,0.00
F,331,Pepple,4.5,4.5,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,332,Pereira,4.4,4.4,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,333,Potts,3.9,3.9,Luton,0,0.00,0,0.00,5,0.18,12,0.33,19,0.49,27,0.54,25,0.77,24,0.67,0.00
M,334,Rea,4.4,4.4,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,335,Shea,4.4,4.4,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,336,Taylor,4.5,4.5,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,337,Thorpe,4.5,4.5,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,338,Walton,4.0,4.0,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,339,Watson,4.4,4.4,Luton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,340,Woodrow,4.4,4.4,Luton,4,0.27,6,0.37,6,0.42,7,0.40,7,0.39,8,0.41,7,0.43,6,0.36,0.00
D,341,Akanji,4.9,4.9,Man City,49,2.74,50,1.91,53,2.16,54,2.39,55,2.18,55,2.99,53,2.94,0,0.00,0.00
D,342,Aké,5.0,5.0,Man City,38,2.13,42,1.72,46,1.96,47,2.21,43,1.85,48,2.68,49,2.78,0,0.00,0.00
F,343,J.Alvarez,7.1,7.0,Man City,77,5.40,74,3.72,73,4.24,73,4.55,72,3.99,71,4.83,69,4.38,0,0.00,0.30
M,344,Bernardo,6.3,6.3,Man City,62,3.76,64,2.78,64,3.14,64,3.35,64,2.98,62,3.58,61,3.40,0,0.00,0.00
M,345,Bobb,4.4,4.4,Man City,0,0.00,2,0.09,3,0.16,3,0.17,4,0.22,5,0.31,4,0.25,0,0.00,0.00
D,346,Cancelo,5.8,5.8,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,347,Carson,3.9,3.9,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,348,Charles,4.5,4.5,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,349,De Bruyne,10.2,10.2,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,14,1.07,0,0.00,0.00
D,350,Rúben,5.5,5.5,Man City,80,4.30,80,3.00,77,3.11,76,3.42,76,3.03,73,3.94,73,4.00,0,0.00,0.04
M,351,Doyle,4.4,4.4,Wolves,5,0.33,3,0.21,4,0.27,5,0.27,6,0.36,6,0.37,7,0.40,6,0.35,0.00
G,352,Ederson M.,5.5,5.5,Man City,93,4.36,92,3.61,90,3.58,90,3.72,90,3.55,89,4.20,89,4.29,0,0.00,0.01
M,353,Foden,7.5,7.5,Man City,66,4.69,65,3.33,64,3.69,61,3.78,64,3.57,63,4.32,61,3.95,0,0.00,0.01
M,354,Grealish,7.3,7.3,Man City,53,3.96,53,2.78,54,3.21,55,3.51,54,3.10,55,3.93,54,3.58,0,0.00,0.00
F,355,Haaland,14.0,14.0,Man City,89,8.07,86,5.16,84,5.98,83,6.48,80,5.42,80,6.99,79,6.32,0,0.00,0.83
M,356,Kovačić,4.9,4.9,Man City,54,2.63,52,1.94,54,2.18,52,2.25,51,2.04,52,2.44,50,2.29,0,0.00,0.00
D,357,Laporte,4.9,4.9,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,358,R.Lewis,4.3,4.3,Man City,3,0.14,4,0.17,7,0.29,8,0.38,10,0.42,10,0.53,10,0.53,0,0.00,0.00
M,359,Mahrez,7.5,7.5,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,360,McAtee,4.4,4.4,Sheffield Utd,54,2.35,54,1.97,46,2.08,46,1.89,47,1.77,46,1.91,47,1.65,45,1.66,0.00
G,361,Ortega Moreno,3.9,3.9,Man City,2,0.08,3,0.12,4,0.18,5,0.23,5,0.22,6,0.28,6,0.29,0,0.00,0.00
M,362,Palmer,5.0,5.0,Chelsea,72,3.39,67,2.99,67,2.97,63,3.51,62,2.74,62,2.98,59,3.75,58,2.90,0.27
M,363,Perrone,4.4,4.4,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,364,Phillips,4.8,4.8,Man City,4,0.17,5,0.20,10,0.37,10,0.41,13,0.48,14,0.57,14,0.55,0,0.00,0.00
M,365,Rodrigo,5.6,5.6,Man City,89,3.62,89,2.74,82,2.80,79,2.89,78,2.62,76,3.09,77,3.04,0,0.00,0.00
D,366,Sergio Gómez,3.9,3.9,Man City,2,0.13,3,0.13,5,0.25,6,0.34,6,0.31,8,0.47,7,0.45,0,0.00,0.00
G,367,Steffen,3.9,3.9,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,368,Stones,5.3,5.3,Man City,67,3.71,65,2.58,65,2.73,63,2.92,63,2.62,62,3.48,64,3.64,0,0.00,0.00
D,369,Walker,5.3,5.3,Man City,66,3.62,66,2.46,64,2.56,63,2.77,62,2.46,62,3.38,59,3.23,0,0.00,0.00
D,370,Alex Telles,4.5,4.5,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,371,Amad,4.4,4.4,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,372,Antony,6.8,6.8,Man Utd,62,3.00,59,3.57,57,2.75,57,2.38,57,2.66,55,3.15,56,2.27,56,2.56,0.00
M,373,B.Fernandes,8.3,8.3,Man Utd,92,4.99,90,6.35,85,4.43,82,3.55,81,4.15,82,5.40,81,3.42,81,4.08,0.16
D,374,B.Williams,4.0,4.0,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,375,Bailly,4.0,4.0,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,376,Casemiro,5.4,5.4,Man Utd,42,1.42,73,2.88,84,2.71,83,2.39,83,2.60,81,3.01,80,2.25,80,2.48,0.00
D,377,Dalot,4.9,4.9,Man Utd,89,3.51,77,4.39,61,2.32,58,1.66,58,2.15,56,2.75,56,1.26,55,1.82,0.15
M,378,Elanga,5.0,5.0,Nott'm Forest,73,2.96,78,3.11,67,2.96,64,2.98,61,2.58,57,2.50,53,2.30,53,2.59,0.00
M,379,Eriksen,5.9,5.9,Man Utd,9,0.51,9,0.61,9,0.50,10,0.49,11,0.58,12,0.70,11,0.53,13,0.67,0.00
D,380,Fernandez,4.0,4.0,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,381,Fred,5.0,5.0,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,382,Garnacho,4.7,4.7,Man Utd,21,1.23,22,1.56,23,1.32,25,1.24,26,1.42,27,1.74,26,1.27,26,1.38,0.00
M,383,Hannibal,4.4,4.4,Man Utd,17,0.81,16,0.89,17,0.79,18,0.79,20,0.94,21,1.08,21,0.88,20,0.92,0.00
G,384,Heaton,4.0,4.0,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,385,Henderson,4.5,4.5,Crystal Palace,2,0.09,10,0.42,23,0.97,24,0.88,24,1.04,25,0.87,23,0.75,27,0.97,0.00
D,386,Lindelof,4.5,4.5,Man Utd,32,1.24,33,1.70,30,1.13,33,0.96,33,1.22,33,1.48,34,0.80,34,1.10,0.00
D,387,Maguire,4.2,4.2,Man Utd,75,2.67,74,3.74,70,2.43,66,1.74,66,2.23,68,3.00,64,1.31,65,1.94,0.08
M,388,Mainoo,4.4,4.4,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,389,Malacia,4.3,4.3,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,390,Martial,6.5,6.5,Man Utd,14,0.86,16,1.15,17,1.01,17,0.94,19,1.10,19,1.30,18,0.98,19,1.11,0.00
D,391,Martinez,4.7,4.7,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,392,McTominay,4.8,4.8,Man Utd,26,0.96,16,0.71,13,0.50,16,0.56,16,0.59,17,0.70,18,0.63,18,0.68,0.00
D,393,Mengi,3.9,3.9,Luton,77,1.18,73,1.20,71,2.24,69,1.43,69,1.32,68,0.93,66,1.60,69,1.47,0.00
M,394,Pellistri,4.4,4.4,Man Utd,18,0.97,17,1.09,20,1.07,21,1.02,22,1.15,24,1.43,22,1.03,22,1.14,0.00
D,395,R.Varane,5.0,5.0,Man Utd,87,3.38,82,4.40,78,3.02,77,2.30,74,2.81,74,3.56,76,1.79,74,2.48,0.00
M,396,Rashford,8.7,8.7,Man Utd,82,4.69,79,5.88,78,4.33,77,3.65,74,4.11,73,5.19,73,3.42,72,3.91,0.02
M,397,Sancho,6.7,6.7,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,398,Shaw,5.2,5.2,Man Utd,0,0.00,14,0.81,76,3.03,80,2.37,80,3.08,79,4.02,78,1.84,76,2.63,0.00
F,399,Shoretire,4.4,4.4,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,400,Van de Beek,4.8,4.8,Man Utd,0,0.00,0,0.00,0,0.00,1,0.06,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,401,Wan-Bissaka,4.4,4.4,Man Utd,5,0.20,22,1.17,39,1.51,42,1.25,41,1.52,42,1.97,42,1.00,43,1.41,0.00
M,402,Almirón,6.3,6.3,Newcastle,70,3.26,66,3.73,63,3.08,62,3.19,60,3.00,60,2.68,60,3.48,59,3.35,0.00
M,403,Anderson,4.4,4.4,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,0.13,0.02
